controller_id,kp,ki,kd,repeat,phase,payload,parameter_status,JT,JE,JT_std,JE_std,JT_sem2,JE_sem2,feasible,numerical_failure,constraint_margin,max_current,saturation_fraction,terminal_error,n_rollouts,violation,role,practical_satisfied,practical_JT_max,nominal_selection_JT,nominal_selection_JE,selection_status,delta_JT,delta_JT_pct,delta_JE,delta_JE_pct
r2_p1_c0033,400.0,161.48688534691058,0.0,2,test,2.0,CANONICAL FINAL | simulation,0.0018841843787528,5.691390904450737,4.972042435541783e-06,0.0021290590403527,2.472120598082827e-12,4.532892397307706e-07,True,False,-0.424523047050494,2.209831499326103,0.0,-0.0007804791661614,10,,CT,True,0.05,0.0016772790674993,2.5994416243246143,ok,0.0002071013616009,12.348903392553096,3.0948451680671334,119.19085902093708
r2_p1_c0032,64.4925345672687,200.0,0.0,2,test,2.0,CANONICAL FINAL | simulation,0.003301052845591,5.6049023515321945,5.369211721080004e-06,0.0001950969425419,2.8828434505782896e-12,3.8062816989234856e-09,True,False,-0.5937888147911908,1.559850951201827,0.0,-0.001947572694506,10,,CB,True,0.05,0.0031447226333885,2.5023876875566864,ok,0.0001543341006173,4.904604228257835,3.10270205539114,123.9989484525356
r2_p1_c0022,110.34109831588252,0.0,1.0259894209802027,2,test,2.0,CANONICAL FINAL | simulation,0.0144485870161526,5.492068167998163,5.439552833998312e-06,0.0005670344985551,2.9588735033859066e-12,3.215281225516354e-08,True,False,-0.5477116074587536,1.736787427358386,0.0,0.0074401508364851,10,,CE,True,0.05,0.0127172565922535,2.477213891586799,ok,0.0017319497388162,13.619557600364542,3.015434252730836,121.75534842440985
r2_p1_c0033,400.0,161.48688534691058,0.0,2,test,3.0,CANONICAL FINAL | simulation,0.0021240371603764,9.775864657541286,5.0434565369648366e-06,0.0023651439694351,2.5436453840253347e-12,5.593905996155251e-07,True,False,-0.2577967411636984,2.850060513931398,0.0,-0.0004406199682092,10,,CT,True,0.05,0.0016772790674993,2.5994416243246143,ok,0.0004469541432245,26.65068685649104,7.179318921157682,276.49499181003597
r2_p1_c0032,64.4925345672687,200.0,0.0,2,test,3.0,CANONICAL FINAL | simulation,0.0035024537544664,9.70111384409778,5.376708320028552e-06,0.0003008264433718,2.890899235866426e-12,9.04965490317442e-09,True,False,-0.426850974778451,2.200892256850748,0.0,-0.0019009860769259,10,,CB,True,0.05,0.0031447226333885,2.5023876875566864,ok,0.0003557350094927,11.304950913105346,7.198913547956725,287.70332890852256
r2_p1_c0022,110.34109831588252,0.0,1.0259894209802027,2,test,3.0,CANONICAL FINAL | simulation,0.0162568788111947,9.43905525593462,5.477649496008806e-06,0.0008020930578681,3.000464400112552e-12,6.433532734803315e-08,True,False,-0.3827832546729477,2.3701123020558805,0.0,0.0107053542730597,10,,CE,True,0.05,0.0127172565922535,2.477213891586799,ok,0.0035402415338583,27.83944730552143,6.962421340667294,281.12436390970504
r3_p1_c0020,400.0,200.0,0.0,3,test,1.0,CANONICAL FINAL | simulation,0.0015481664980486,2.598341134969705,4.5934745301604576e-06,0.0027516558960139,2.1100008259232836e-12,7.571610170068545e-07,True,False,-0.5808830405222822,1.6094091243944362,0.0,-0.001189687059756,10,,CT,True,0.05,0.0015461490099064,2.5978602786940543,ok,0.0,0.0,0.0,0.0
r3_p1_c0019,0.0,190.2195841916688,0.0,3,test,1.0,CANONICAL FINAL | simulation,0.0041742572784341,2.480340814921294,3.7311236527835894e-05,0.000603936587251,1.3921283712361155e-10,3.647394014204898e-08,True,False,-0.6654596950996353,0.8181840090559158,0.0,0.0048183905064254,10,,CB,True,0.05,0.0042043864863074,2.479867645931591,ok,0.0,0.0,0.0,0.0
r3_p1_c0013,0.0,40.90938209255775,0.0,3,test,1.0,CANONICAL FINAL | simulation,0.0215413495642729,2.474200453779604,1.3943270341854304e-05,0.0001122896637644,1.9441478782603384e-11,1.260896858833035e-09,True,False,-0.6613818690208244,0.8039878001703739,0.0,0.009413743783461,10,,CE,True,0.05,0.021548048879367,2.474065730851119,ok,0.0,0.0,0.0,0.0
r3_p1_c0020,400.0,200.0,0.0,3,test,2.0,CANONICAL FINAL | simulation,0.0017196203476446,5.694172404659855,4.947047118999544e-06,0.0028320056566293,2.447327519760169e-12,8.020256039180843e-07,True,False,-0.4091845024989902,2.2687315104038777,0.0,-0.0009282963479132,10,,CT,True,0.05,0.0015461490099064,2.5978602786940543,ok,0.0001714538495959,11.074638923656826,3.0958312696901498,119.1464518659612
r3_p1_c0019,0.0,190.2195841916688,0.0,3,test,2.0,CANONICAL FINAL | simulation,0.0043490952759292,5.56699208742731,3.748338779746643e-05,0.0011402333215182,1.4050043607752549e-10,1.300132027500567e-07,True,False,-0.619168302380769,1.4623937188578469,0.0,0.0051246659799792,10,,CB,True,0.05,0.0042043864863074,2.479867645931591,ok,0.0001748379974951,4.188481586854067,3.086651272506016,124.44464300781831
r3_p1_c0013,0.0,40.90938209255775,0.0,3,test,2.0,CANONICAL FINAL | simulation,0.0217764628499243,5.572786774945066,1.1826675226419874e-05,0.0001764567195871,1.3987024691121357e-11,3.1136973887459287e-09,True,False,-0.6241662254107795,1.4432016944226067,0.0,0.0069475621705215,10,,CE,True,0.05,0.021548048879367,2.474065730851119,ok,0.0002351132856514,1.0914510483659043,3.0985863211654623,125.23586423371812
r3_p1_c0020,400.0,200.0,0.0,3,test,3.0,CANONICAL FINAL | simulation,0.0019227149809572,9.780844273054282,5.227095062256513e-06,0.0030017329027231,2.732252278986642e-12,9.010400419290924e-07,True,False,-0.2374138564549344,2.928330791213052,0.0,-0.0006654863635084,10,,CT,True,0.05,0.0015461490099064,2.5978602786940543,ok,0.0003745484829085,24.19303630330787,7.182503138084576,276.42648770860177
r3_p1_c0019,0.0,190.2195841916688,0.0,3,test,3.0,CANONICAL FINAL | simulation,0.0045665752315038,9.64691880784753,3.732817056973012e-05,0.0017144736481362,1.3933923180828658e-10,2.93941989015349e-07,True,False,-0.4513936480628698,2.1066483914385796,0.0,0.005423484649526,10,,CB,True,0.05,0.0042043864863074,2.479867645931591,ok,0.0003923179530697,9.398509169442825,7.1665779929262365,288.9352120407552
r3_p1_c0013,0.0,40.90938209255775,0.0,3,test,3.0,CANONICAL FINAL | simulation,0.0223321474939194,9.66911137359683,1.0046722716670431e-05,0.0002215007228629,1.009366373456617e-11,4.906257022882586e-09,True,False,-0.457404881972701,2.083565253224828,0.0,0.0048412443097972,10,,CE,True,0.05,0.021548048879367,2.474065730851119,ok,0.0007907979296464,3.671069573830507,7.194910919817227,290.7974133149251
r4_p1_c0029,400.0,200.0,0.0,4,test,1.0,CANONICAL FINAL | simulation,0.0015493770171731,2.5965938920989524,2.7482302556442257e-06,0.0020158149204057,7.552769538038325e-13,4.063509793330357e-07,True,False,-0.5721840009616777,1.6428134363071576,0.0,-0.001189128332008,10,,CT,True,0.05,0.0015494175187494,2.5970726566537814,ok,0.0,0.0,0.0,0.0
r4_p1_c0024,51.448867678722,197.7503291004093,0.0,4,test,1.0,CANONICAL FINAL | simulation,0.0032628475040752,2.500901533183453,3.0046444201247275e-06,9.698255234384093e-05,9.02788809138666e-13,9.405615459125842e-10,True,False,-0.6658696959148862,0.884441490937806,0.0,-0.00181334480485,10,,CB,True,0.05,0.0032635049495126,2.5008495647536493,ok,0.0,0.0,0.0,0.0
r4_p1_c0011,147.41045672773927,0.0,0.0,4,test,1.0,CANONICAL FINAL | simulation,0.0077711046110131,2.484593655818031,1.3881079620832985e-06,0.0003459259244509,1.9268437143990478e-13,1.1966474520726878e-08,True,False,-0.6676203201398148,1.0627325012093047,0.0,0.0030948178428275,10,,CE,True,0.05,0.0077718323324835,2.4845152866111713,ok,0.0,0.0,0.0,0.0
r4_p1_c0029,400.0,200.0,0.0,4,test,2.0,CANONICAL FINAL | simulation,0.0017207558460741,5.692893153745792,2.45182861146753e-06,0.0022819557861009,6.011463540010797e-13,5.207322209719586e-07,True,False,-0.4241007717619253,2.211453036434207,0.0,-0.0009157964445801,10,,CT,True,0.05,0.0015494175187494,2.5970726566537814,ok,0.0001713788289009,11.061144382641416,3.096299261646839,119.24464857860198
r4_p1_c0024,51.448867678722,197.7503291004093,0.0,4,test,2.0,CANONICAL FINAL | simulation,0.0034190815444779,5.603620121839157,2.98578884463971e-06,0.000154452565263,8.914935024774933e-13,2.3855594916326703e-09,True,False,-0.6024981514623279,1.526407098384661,0.0,-0.0017808278913933,10,,CB,True,0.05,0.0032635049495126,2.5008495647536493,ok,0.0001562340404027,4.788272826344761,3.1027185886557036,124.06400441948566
r4_p1_c0011,147.41045672773927,0.0,0.0,4,test,2.0,CANONICAL FINAL | simulation,0.0091161514390182,5.526777461775746,1.3076664891801869e-06,0.0004866154876577,1.7099916469248356e-13,2.3679463282840476e-08,True,False,-0.5602747227594579,1.6885450646036817,0.0,0.005551840629179,10,,CE,True,0.05,0.0077718323324835,2.4845152866111713,ok,0.001345046828005,17.308309375978105,3.042183805957715,122.44190509116076
r4_p1_c0029,400.0,200.0,0.0,4,test,3.0,CANONICAL FINAL | simulation,0.0019237689848259,9.779933707205616,2.1996995818356102e-06,0.0027001367055758,4.838678250327758e-13,7.290738228797796e-07,True,False,-0.2652069903110092,2.8216051572057244,0.0,-0.0006436907255065,10,,CT,True,0.05,0.0015494175187494,2.5970726566537814,ok,0.0003743919676527,24.16403260813824,7.183339815106662,276.644716640692
r4_p1_c0024,51.448867678722,197.7503291004093,0.0,4,test,3.0,CANONICAL FINAL | simulation,0.0036227907016965,9.70016438635072,2.9406651822527205e-06,0.0002099441217556,8.647511714113425e-13,4.407653425973953e-09,True,False,-0.4353701672028099,2.16817855794121,0.0,-0.0017478717762105,10,,CB,True,0.05,0.0032635049495126,2.5008495647536493,ok,0.0003599431976212,11.031566665978628,7.1992628531672676,287.866705571697
r4_p1_c0011,147.41045672773927,0.0,0.0,4,test,3.0,CANONICAL FINAL | simulation,0.0105229969912426,9.520079536520935,1.3027450505762149e-06,0.0006469970775096,1.697144666800825e-13,4.186052183060229e-08,True,False,-0.3953489825697138,2.321859906932299,0.0,0.0080012948030289,10,,CE,True,0.05,0.0077718323324835,2.4845152866111713,ok,0.0027518923802294,35.41185607422577,7.035485880702906,283.1644467991098
